AWS S3	Data Mgt	file object store 	1.9	9	0.9		8	1	0	0	ADOPT		ADOPT			ADOPT			ADOPT	ADOPT		ADOPT					ADOPT							ADOPT	TRIAL		
Python	Languages & Frameworks	impl. language	2.0	23	1.0	23	0	0	0	ADOPT	ADOPT	ADOPT	ADOPT	ADOPT	ADOPT	ADOPT	ADOPT	ADOPT	ADOPT	ADOPT	ADOPT	ADOPT	ADOPT	ADOPT	ADOPT	ADOPT	ADOPT	ADOPT	ADOPT	ADOPT	ADOPT	ADOPT
Java	Languages & Frameworks	impl. language	2.0	23	1.0	23	0	0	0	ADOPT	ADOPT	ADOPT	ADOPT	ADOPT	ADOPT	ADOPT	ADOPT	ADOPT	ADOPT	ADOPT	ADOPT	ADOPT	ADOPT	ADOPT	ADOPT	ADOPT	ADOPT	ADOPT	ADOPT	ADOPT	ADOPT	ADOPT
Docker	Platforms	Container/Deployment	2.0	23	1.0	23	0	0	0	ADOPT	ADOPT	ADOPT	ADOPT	ADOPT	ADOPT	ADOPT	ADOPT	ADOPT	ADOPT	ADOPT	ADOPT	ADOPT	ADOPT	ADOPT	ADOPT	ADOPT	ADOPT	ADOPT	ADOPT	ADOPT	ADOPT	ADOPT
PostgreSQL	Data Mgt	RDBMS	2.0	22	1.0	22	0	0	0	ADOPT	ADOPT	ADOPT	ADOPT		ADOPT	ADOPT	ADOPT	ADOPT	ADOPT	ADOPT	ADOPT	ADOPT	ADOPT	ADOPT	ADOPT	ADOPT	ADOPT	ADOPT	ADOPT	ADOPT	ADOPT	ADOPT
Javascript	Languages & Frameworks	impl. language	2.0	22	1.0	22	0	0	0	ADOPT	ADOPT	ADOPT	ADOPT	ADOPT	ADOPT	ADOPT	ADOPT	ADOPT	ADOPT	ADOPT	ADOPT	ADOPT	ADOPT	ADOPT	ADOPT	ADOPT	ADOPT	ADOPT		ADOPT	ADOPT	ADOPT
Cassandra	Data Mgt	NoSql DB	2.0	21	1.0	21	0	0	0	ADOPT		ADOPT	ADOPT	ADOPT	ADOPT	ADOPT	ADOPT	ADOPT	ADOPT	ADOPT	ADOPT	ADOPT	ADOPT	ADOPT	ADOPT	ADOPT		ADOPT	ADOPT	ADOPT	ADOPT	ADOPT
Guava	Languages & Frameworks	standard lib	2.0	20	1.0	20	0	0	0	ADOPT		ADOPT		ADOPT	ADOPT	ADOPT	ADOPT	ADOPT	ADOPT	ADOPT	ADOPT	ADOPT	ADOPT	ADOPT	ADOPT	ADOPT	ADOPT	ADOPT		ADOPT	ADOPT	ADOPT
Tomcat	Platforms	webserver	2.0	19	1.0	19	0	0	0	ADOPT	ADOPT	ADOPT		ADOPT	ADOPT	ADOPT	ADOPT	ADOPT	ADOPT	ADOPT	ADOPT	ADOPT	ADOPT		ADOPT	ADOPT	ADOPT	ADOPT		ADOPT	ADOPT	
slf4j	Languages & Frameworks	Logging-Facade, multiple implementations (Log4J,Logback)	2.0	18	1.0	18	0	0	0	ADOPT		ADOPT		ADOPT	ADOPT	ADOPT	ADOPT	ADOPT	ADOPT	ADOPT	ADOPT	ADOPT	ADOPT	ADOPT			ADOPT	ADOPT		ADOPT	ADOPT	ADOPT
Maven	Techniques & Tools	Build Tool	2.0	15	1.0	15	0	0	0	ADOPT		ADOPT		ADOPT	ADOPT		ADOPT	ADOPT		ADOPT		ADOPT	ADOPT		ADOPT	ADOPT	ADOPT	ADOPT			ADOPT	ADOPT
